Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ)
3378;219324645.99609375;1878845.21484375
3377;219360046.38671875;1878356.93359375
3378;219244628.90625;1878906.25
3378;219324096.6796875;1878906.25
3378;219142456.0546875;1879516.6015625
3377;219516357.421875;1878967.28515625
3379;219342102.05078125;1879455.56640625
3378;219345886.23046875;1878906.25
3378;219365783.69140625;1879516.6015625
3379;219409423.828125;1878906.25
3378;219323425.29296875;1879516.6015625
3378;219311645.5078125;1878356.93359375
3377;219259826.66015625;1878356.93359375
3378;219377136.23046875;1879455.56640625
3379;219405822.75390625;1879516.6015625
3377;219266906.73828125;1878356.93359375
3377;219275268.5546875;1878906.25
3377;219279846.19140625;1878295.8984375
3378;219274169.921875;1878967.28515625
3377;219325317.3828125;1878845.21484375
3377;219244750.9765625;1878356.93359375
3377;219270507.8125;1878356.93359375
3379;219391418.45703125;1878906.25
3378;219312622.0703125;1878906.25
3377;219271179.19921875;1878356.93359375
3377;219311584.47265625;1878906.25
3378;219316284.1796875;1878906.25
3378;219373291.015625;1879455.56640625
3377;219326904.296875;1878906.25
3378;219308593.75;1878906.25
3377;219311035.15625;1878906.25
3378;219394592.28515625;1878356.93359375
3378;219236328.125;1879516.6015625
3377;219319335.9375;1878295.8984375
3378;219287902.83203125;1878906.25
3378;219365112.3046875;1878906.25
3378;219271240.234375;1878906.25
3378;219338317.87109375;1878906.25
3377;219281127.9296875;1878356.93359375
3377;219316955.56640625;1878845.21484375
3378;219304382.32421875;1878906.25
3378;219264221.19140625;1878906.25
3377;219301025.390625;1878356.93359375
3377;219297424.31640625;1878906.25
3377;219300476.07421875;1878356.93359375
3377;219302062.98828125;1878906.25
3378;219333007.8125;1878906.25
3378;219381408.69140625;1879455.56640625
3376;219278686.5234375;1877746.58203125
3379;219265441.89453125;1880004.8828125
3377;219295410.15625;1878356.93359375
3378;219304199.21875;1879150.390625
3378;219361572.265625;1878906.25
3378;219338989.2578125;1879455.56640625
3378;219429138.18359375;1879455.56640625
3380;219376220.703125;1879516.6015625
3377;219304382.32421875;1878845.21484375
3378;219354431.15234375;1878906.25
3379;219353454.58984375;1879516.6015625
3379;219421264.6484375;1880004.8828125
3379;219399658.203125;1879455.56640625
3379;219359191.89453125;1879455.56640625
3377;219302612.3046875;1878906.25
3378;219368957.51953125;1878906.25
3377;219337463.37890625;1878906.25
3378;219300720.21484375;1878906.25
3377;219373962.40234375;1878845.21484375
3379;219357910.15625;1880065.91796875
3379;219300170.8984375;1878906.25
3377;219292114.2578125;1878356.93359375
3378;219354431.15234375;1878906.25
3379;219385375.9765625;1879455.56640625
3378;219311706.54296875;1878906.25
3378;219368652.34375;1879455.56640625
3378;219366027.83203125;1878906.25
3391;220045776.3671875;1886657.71484375
3380;219417602.5390625;1880187.98828125
3382;219558288.57421875;1881774.90234375
3375;219494567.87109375;1877502.44140625
3376;219177001.953125;1878417.96875
3376;219179077.1484375;1878417.96875
3379;219289672.8515625;1879516.6015625
3377;219286376.953125;1878356.93359375
3376;219267333.984375;1878356.93359375
3377;219219604.4921875;1878295.8984375
3377;219299682.6171875;1878417.96875
3377;219215332.03125;1878356.93359375
3377;219306091.30859375;1878417.96875
3378;219310119.62890625;1878845.21484375
