Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ)
1765;61208190.91796875;981750.48828125
1760;60278076.171875;978942.87109375
1759;60391174.31640625;977844.23828125
1759;60271545.41015625;978942.87109375
1759;60199279.78515625;978942.87109375
1760;60173645.01953125;978332.51953125
1760;60231384.27734375;979003.90625
1759;60156433.10546875;978332.51953125
1759;60351745.60546875;978942.87109375
1760;60316650.390625;978393.5546875
1759;60188781.73828125;978942.87109375
1759;60285034.1796875;978393.5546875
1761;60363037.109375;979492.1875
1759;60169555.6640625;978393.5546875
1759;60153503.41796875;978393.5546875
1760;60265686.03515625;978393.5546875
1759;60264587.40234375;978393.5546875
1760;60455566.40625;978942.87109375
1759;60282592.7734375;978393.5546875
1760;60290649.4140625;978942.87109375
1765;61403869.62890625;981933.59375
1760;60382995.60546875;978942.87109375
1759;60274047.8515625;978393.5546875
1761;60550903.3203125;979492.1875
1759;60278686.5234375;978393.5546875
1760;60310363.76953125;978881.8359375
1759;60222534.1796875;979003.90625
1759;60160461.42578125;978393.5546875
1760;60201416.015625;978881.8359375
1760;60594543.45703125;978942.87109375
1760;60258972.16796875;979003.90625
1758;60325073.2421875;977783.203125
1759;60213317.87109375;978332.51953125
1761;60546386.71875;979492.1875
1758;60226440.4296875;978393.5546875
1760;60293579.1015625;978393.5546875
1759;60232604.98046875;978332.51953125
1760;60258178.7109375;978393.5546875
1760;60404174.8046875;978942.87109375
1759;60293701.171875;978393.5546875
1761;60481689.453125;978942.87109375
1759;60315979.00390625;978393.5546875
1760;60308288.57421875;978942.87109375
1759;60130798.33984375;978393.5546875
1759;60218200.68359375;978942.87109375
1759;60350158.69140625;978393.5546875
1760;60277160.64453125;978393.5546875
1760;60324829.1015625;978942.87109375
1759;60226806.640625;978942.87109375
1760;60237915.0390625;978942.87109375
1759;60230834.9609375;978759.765625
1760;60175292.96875;978393.5546875
1759;60184692.3828125;978942.87109375
1760;60199707.03125;978393.5546875
1759;60228210.44921875;978393.5546875
1760;60160522.4609375;978393.5546875
1759;60240783.69140625;979003.90625
1759;60358154.296875;978332.51953125
1761;60400268.5546875;979553.22265625
1759;60127624.51171875;978332.51953125
1760;60244079.58984375;979003.90625
1760;60266052.24609375;978942.87109375
1760;60170471.19140625;978942.87109375
1759;60285827.63671875;978393.5546875
1759;60178588.8671875;978942.87109375
1759;60504394.53125;978393.5546875
1760;60250427.24609375;978942.87109375
1768;62139831.54296875;984008.7890625
1760;60192810.05859375;979003.90625
1760;60365234.375;978942.87109375
1759;60150939.94140625;978393.5546875
1761;60371276.85546875;979797.36328125
1760;60332092.28515625;978942.87109375
1759;60126220.703125;978454.58984375
1760;60337585.44921875;979492.1875
1760;60315734.86328125;978942.87109375
1760;60243530.2734375;978454.58984375
1759;60241760.25390625;978942.87109375
1760;60320739.74609375;978942.87109375
1759;60191040.0390625;978393.5546875
1759;60185302.734375;978942.87109375
1761;60418945.3125;978942.87109375
1758;60252746.58203125;978393.5546875
1760;60354858.3984375;978942.87109375
1760;60125793.45703125;978393.5546875
1759;60177673.33984375;978942.87109375
1759;60174316.40625;978393.5546875
1760;60171203.61328125;978942.87109375
1759;60115966.796875;978393.5546875
1759;60131042.48046875;978393.5546875
1760;60306091.30859375;978942.87109375
1759;60118103.02734375;978393.5546875
1761;60337524.4140625;979492.1875
1759;60174194.3359375;978942.87109375
1761;60282836.9140625;978942.87109375
1759;60161743.1640625;978393.5546875
1768;60907714.84375;983459.47265625
1769;61697570.80078125;983947.75390625
1759;60202453.61328125;978332.51953125
1760;60148681.640625;978393.5546875
1761;60429504.39453125;979980.46875
1762;60564453.125;979553.22265625
1759;60193115.234375;978393.5546875
1759;60195007.32421875;978942.87109375
1759;60231872.55859375;978393.5546875
1760;60372009.27734375;978942.87109375
1759;60179748.53515625;978393.5546875
1760;60141662.59765625;978942.87109375
1760;60283569.3359375;978942.87109375
1759;60155212.40234375;978332.51953125
1759;60313354.4921875;978942.87109375
1761;60483459.47265625;979003.90625
1759;60157592.7734375;978881.8359375
1759;60298095.703125;978393.5546875
1769;61830993.65234375;983947.75390625
1760;60248718.26171875;978942.87109375
1764;61085571.2890625;981750.48828125
1761;60361816.40625;978942.87109375
1760;60211486.81640625;978942.87109375
1759;60206665.0390625;978942.87109375
1760;60317260.7421875;978942.87109375
1760;60121337.890625;978393.5546875
1761;60382080.078125;979492.1875
1759;60266784.66796875;978942.87109375
1760;60203491.2109375;978393.5546875
1759;60189758.30078125;978332.51953125
1759;60335205.078125;979003.90625
1759;60232482.91015625;978393.5546875
1760;60165344.23828125;978393.5546875
1760;60381896.97265625;978942.87109375
1760;60336303.7109375;978942.87109375
1759;60380004.8828125;978942.87109375
1760;60227355.95703125;978393.5546875
1760;60414978.02734375;979492.1875
1760;60149475.09765625;978942.87109375
1759;60331726.07421875;979553.22265625
