Elapsed Time (ms),Package Energy (µJ),DRAM Energy (µJ),Temperature (C°),,,,
1636.986146,106460000,920000,51.1666666666667,1.636986146,106.46,0.92,614
1602.74998,105110000,900000,49.0833333333333,1.60274998,105.11,0.9,589
1605.078803,104790000,900000,48.6666666666667,1.605078803,104.79,0.9,584
1616.239968,105550000,900000,49.5,1.616239968,105.55,0.9,594
1612.712365,105640000,900000,48.6666666666667,1.612712365,105.64,0.9,584
1608.691425,104830000,900000,48.9166666666667,1.608691425,104.83,0.9,587
1615.06085,105770000,900000,49.8333333333333,1.61506085,105.77,0.9,598
1606.912904,104920000,900000,49,1.606912904,104.92,0.9,588
1620.019732,105690000,910000,49.3333333333333,1.620019732,105.69,0.91,592
1605.538294,104840000,900000,49,1.605538294,104.84,0.9,588
1621.358152,105880000,910000,48.9166666666667,1.621358152,105.88,0.91,587
1606.737544,104990000,900000,48.8333333333333,1.606737544,104.99,0.9,586
1606.176051,104870000,900000,49.5,1.606176051,104.87,0.9,594
1624.747545,106140000,910000,48.5,1.624747545,106.14,0.91,582
1605.097487,104810000,900000,48.75,1.605097487,104.81,0.9,585
1610.041938,105360000,900000,49.6666666666667,1.610041938,105.36,0.9,596
1599.56838,104280000,900000,48.8333333333333,1.59956838,104.28,0.9,586
1601.255386,104520000,900000,49.3333333333333,1.601255386,104.52,0.9,592
1617.244874,105650000,910000,49.1666666666667,1.617244874,105.65,0.91,590
1610.256337,105230000,900000,49.1666666666667,1.610256337,105.23,0.9,590
1607.150417,104980000,900000,49.6666666666667,1.607150417,104.98,0.9,596
1606.139756,104870000,900000,49.1666666666667,1.606139756,104.87,0.9,590
1613.477741,105470000,900000,49,1.613477741,105.47,0.9,588
1607.336989,104970000,900000,49.3333333333333,1.607336989,104.97,0.9,592
1604.435058,104800000,900000,48.4166666666667,1.604435058,104.8,0.9,581
1608.881132,105040000,900000,48.75,1.608881132,105.04,0.9,585
1604.928236,104880000,900000,49.1666666666667,1.604928236,104.88,0.9,590
1610.767414,105210000,900000,49.6666666666667,1.610767414,105.21,0.9,596
1611.988719,105220000,900000,49.1666666666667,1.611988719,105.22,0.9,590
1605.281888,104830000,900000,48.6666666666667,1.605281888,104.83,0.9,584
1595.679322,104250000,890000,49.5,1.595679322,104.25,0.89,594
1606.023778,104810000,900000,48.3333333333333,1.606023778,104.81,0.9,580
