Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ)
1474;85132690.4296875;856384.27734375
1422;92922485.3515625;828063.96484375
1421;91467407.2265625;827331.54296875
1408;91341613.76953125;821472.16796875
1289;87062805.17578125;753784.1796875
1256;82930847.16796875;736206.0546875
1437;87963928.22265625;835021.97265625
1359;89431213.37890625;794494.62890625
1514;93891235.3515625;879821.77734375
1031;80361267.08984375;609252.9296875
1453;84077453.61328125;845214.84375
1051;77797241.2109375;621765.13671875
1514;85702331.54296875;879699.70703125
1417;94653015.13671875;825134.27734375
1162;82239685.05859375;682678.22265625
1428;85645446.77734375;831542.96875
1512;94265563.96484375;878723.14453125
1505;96717773.4375;874511.71875
1401;93996948.2421875;817626.953125
1415;92174682.6171875;824645.99609375
1512;94610351.5625;877990.72265625
1414;94758117.67578125;823364.2578125
1402;90357543.9453125;818298.33984375
1297;86840637.20703125;758117.67578125
1434;89754394.53125;834289.55078125
1179;83448364.2578125;692565.91796875
1438;86617980.95703125;837280.2734375
1413;91555053.7109375;822875.9765625
1501;94461914.0625;873352.05078125
1041;79157165.52734375;615478.515625
1358;78556335.44921875;793029.78515625
1437;93074951.171875;836059.5703125
1440;92772460.9375;837829.58984375
1147;83127929.6875;675720.21484375
1492;86715454.1015625;868347.16796875
1307;89407836.9140625;764282.2265625
1426;90098754.8828125;830078.125
1422;91005798.33984375;830017.08984375
1408;91562194.82421875;817993.1640625
1418;92086364.74609375;825683.59375
1433;92361206.0546875;836669.921875
1397;90869384.765625;815673.828125
1038;77179077.1484375;612243.65234375
1506;84829528.80859375;875732.421875
1410;94440124.51171875;821166.9921875
1443;92409362.79296875;839721.6796875
1397;91287719.7265625;815002.44140625
1299;85594848.6328125;759948.73046875
1391;89321838.37890625;810668.9453125
1421;91231689.453125;826782.2265625
1482;93364501.953125;863342.28515625
1389;90662780.76171875;809997.55859375
1482;95357360.83984375;861694.3359375
1453;94473571.77734375;847778.3203125
1395;92041748.046875;812805.17578125
1376;89515869.140625;802307.12890625
1149;80539611.81640625;676513.671875
1456;86770019.53125;845825.1953125
1427;92916687.01171875;830688.4765625
1438;93136169.43359375;836669.921875
1488;94196899.4140625;865112.3046875
1415;92776611.328125;825256.34765625
1368;89906127.9296875;797973.6328125
1484;93827514.6484375;862731.93359375
1552;98007080.078125;902404.78515625
1470;97307678.22265625;855407.71484375
1416;94379882.8125;824218.75
1415;91245361.328125;824340.8203125
1485;93448791.50390625;864135.7421875
1386;92809753.41796875;807128.90625
1494;93463256.8359375;869140.625
1384;92487121.58203125;808776.85546875
1439;91492797.8515625;837463.37890625
1424;93644897.4609375;829467.7734375
1507;94645629.8828125;875671.38671875
1458;95524963.37890625;849121.09375
1330;88544250.48828125;777099.609375
1103;78574829.1015625;650085.44921875
1462;86177795.41015625;849548.33984375
1371;91053100.5859375;800354.00390625
1439;91571350.09765625;837280.2734375
1047;78467956.54296875;619079.58984375
