Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ);Temperature (C°);BenchmarkReturnValue
414.82730000000083;27004204;231445;59;
417.2836000000025;27037223;232299;57.5;
415.9928;26982597;232055;58;
414.89660000000003;26889030;231018;58.5;
417.00800000000163;27144340;232482;58.5;
415.3763999999974;26829399;231261;59;
417.8618999999999;27073722;232177;58.5;
421.7533999999978;27291679;236083;58;
413.6134999999995;26992789;231384;57.5;
415.5708000000013;26878288;231201;57.5;
415.5060000000012;27041130;231872;58.5;
416.35559999999896;26977287;232116;58;
416.13300000000163;26984977;231627;58.5;
413.62950000000274;26846672;230102;59;
415.10749999999825;26923882;231261;58.5;
418.249200000002;27124015;233703;58;
416.1422999999995;26993827;231750;57;
415.85989999999947;26993766;231811;57.5;
414.6270000000004;26931389;230774;58.5;
418.3653999999988;27145377;234069;58;
417.5695000000014;27030265;233214;57.5;
415.3663000000015;26953911;231995;58.5;
415.4814000000006;26973502;231383;58.5;
412.1349000000009;26793145;229553;59;
416.2564999999995;26973746;232421;59;
414.2086999999992;26944267;230407;58;
418.7030999999988;27156486;233398;58;
413.9830000000002;26934990;230590;58.5;
415.60329999999885;26884086;231323;59;
414.67029999999795;26894524;231323;59;
412.8351000000039;26846427;230041;59;
414.2878999999957;26834954;230712;58.5;
416.0279999999984;27071342;231933;59.5;
416.3515999999945;27026359;232238;59;
414.71779999999853;26851737;230773;58;
412.3293999999951;26879326;229980;58;
416.04769999999553;26928093;232116;58.5;
415.1383999999962;27009452;231811;59;
412.395199999999;26719231;229553;58.5;
414.7714999999953;26853630;230529;58.5;
415.6515999999974;27062431;231750;59;
415.1880999999994;26931083;231201;59;
413.315300000002;26743401;229980;59;
414.75650000000314;26914604;230895;58.5;
416.0887999999977;27040092;231750;58;
415.6299999999974;26875420;231383;58.5;
418.359000000004;27146414;232910;58.5;
418.88870000000315;27190482;232910;58;
414.46830000000045;26886711;231384;59;
412.87310000000434;26869682;230102;59.5;
414.5544000000009;26866936;230590;58.5;
418.09010000000126;27074515;232726;59;
413.03600000000006;26813896;229979;59;
414.80280000000494;26949638;230652;58.5;
412.12109999999666;26788384;230285;58.5;
413.0481;26746757;230285;59;
413.2017000000051;26812431;230102;59;
415.55479999999807;26866264;231200;58.5;
415.8455000000031;26941825;231383;59.5;
417.10689999999886;27106987;232177;59;
412.6808999999994;26755974;229308;58;
414.58610000000044;26980827;231201;58;
414.8205999999991;26939689;231445;58;
416.5448000000033;26975700;231566;58.5;
417.88180000000284;27094901;233215;58.5;
413.59100000000035;26885613;230773;58;
417.0540000000037;27060966;232483;58;
414.13230000000476;26922538;230956;58;
415.1690000000017;26941460;231201;58;
416.18829999999434;26933585;231689;58.5;
415.4432000000015;27048637;231262;59;
414.61500000000524;26905632;231688;59.5;
419.58089999999356;27163687;233581;60;
414.5417000000016;26958000;231140;59.5;
413.07530000000406;26800041;230041;58.5;
413.03749999999854;26857048;230346;58.5;
415.98649999999907;27070793;231750;60;
414.0792999999976;26769707;230712;59.5;
413.85059999999794;26872062;230590;59;
415.60519999999815;27029411;231994;59;
413.88520000000426;26873222;229919;58;
413.6744000000035;26759392;230163;57.5;
411.72320000000036;26805290;229674;57.5;
412.5821999999971;26768547;230285;58.5;
414.5118000000002;26916008;230652;59;
415.0481;26946098;231139;59.5;
417.4063000000024;27112662;232910;59.5;
412.8171999999977;26763482;230102;60;
420.4478999999992;27199332;234191;59;
414.7698999999993;26940849;231078;59;
413.8058000000019;26893120;230713;60;
414.4317999999985;26868339;231261;59;
416.3012000000017;27092399;232361;59;
416.19230000000243;26865410;231689;58.5;
415.86900000000605;27074759;231811;59;
416.5005999999994;26954216;231689;60;
414.70350000000326;26948295;231872;59;
415.4852000000028;26925774;231139;59;
413.0220000000045;26814140;230041;60;
416.5095999999976;27030265;231750;59.5;
414.0500000000029;26862785;230774;59.5;
415.6501999999964;27057426;231749;59.5;
413.41160000000673;26761650;230041;59.5;
416.8024000000005;27118339;232422;59.5;
414.19079999999667;26941581;230590;59.5;
413.0313000000024;26782830;230834;59.5;
415.53369999999995;26960868;231811;59;
413.572699999997;26920891;230590;59.5;
412.0726000000068;26686455;229553;59.5;
413.76609999999346;26849052;230285;59;
416.4606000000058;27002799;232605;59.5;
415.83310000000347;27048942;231750;59.5;
417.64940000000934;27046379;232238;58.5;
415.32850000000326;26968010;231445;59;
