Elapsed Time (ms);Package Energy (µJ);DRAM Energy (µJ)
538;22293457.03125;305053.7109375
533;22354858.3984375;303222.65625
539;22439880.37109375;305969.23828125
537;22374511.71875;304809.5703125
532;22201293.9453125;301818.84765625
541;22679382.32421875;307617.1875
533;22357299.8046875;302612.3046875
534;22408691.40625;303527.83203125
537;22397338.8671875;304748.53515625
544;22924072.265625;308349.609375
539;22438781.73828125;306213.37890625
538;22665283.203125;305603.02734375
535;22354187.01171875;303833.0078125
541;22616638.18359375;307312.01171875
536;22655029.296875;304443.359375
613;24908630.37109375;347412.109375
542;22684631.34765625;307373.046875
537;22395385.7421875;304748.53515625
534;22345825.1953125;303344.7265625
539;22482116.69921875;306335.44921875
535;22347534.1796875;304077.1484375
529;21987121.58203125;300659.1796875
548;22818725.5859375;311523.4375
532;22269042.96875;302490.234375
531;22103210.44921875;301879.8828125
531;22159423.828125;301940.91796875
537;22483947.75390625;305786.1328125
534;22304992.67578125;303588.8671875
537;22340087.890625;304870.60546875
536;22358093.26171875;305358.88671875
544;22685424.8046875;308837.890625
535;22428222.65625;304138.18359375
537;22447692.87109375;305969.23828125
540;22555358.88671875;306335.44921875
539;22456604.00390625;306396.484375
541;22535156.25;307800.29296875
541;22632812.5;307617.1875
535;22448608.3984375;304565.4296875
541;22506225.5859375;307617.1875
543;22858093.26171875;308349.609375
615;24879760.7421875;348205.56640625
569;23474731.4453125;323181.15234375
545;22619445.80078125;309936.5234375
540;21962219.23828125;307067.87109375
540;22517883.30078125;307312.01171875
536;21827941.89453125;304992.67578125
540;22405639.6484375;307250.9765625
536;22013610.83984375;305175.78125
542;22602905.2734375;308349.609375
536;22089355.46875;305053.7109375
555;22943664.55078125;315673.828125
537;21978454.58984375;306335.44921875
537;21800354.00390625;305175.78125
545;22664978.02734375;310241.69921875
544;22472900.390625;308898.92578125
540;22095336.9140625;307861.328125
539;22607055.6640625;307067.87109375
540;22275085.44921875;307678.22265625
537;21889587.40234375;305175.78125
540;22339660.64453125;307556.15234375
540;22129150.390625;307495.1171875
539;22521118.1640625;306884.765625
