Elapsed Time (ms),Package Energy (µJ),DRAM Energy (µJ),Temperature (C°),,,,
3990.483163,153800000,2360000,39.8333333333333,3.990483163,153.8,2.36,478
4008.991251,157270000,2360000,28.9166666666667,4.008991251,157.27,2.36,347
3983.996566,153770000,2350000,29.5,3.983996566,153.77,2.35,354
4019.784478,156050000,2380000,30.1666666666667,4.019784478,156.05,2.38,362
3985.485703,153110000,2350000,19.25,3.985485703,153.11,2.35,231
4003.233675,154560000,2360000,29.6666666666667,4.003233675,154.56,2.36,356
3991.819865,154610000,2350000,39.5,3.991819865,154.61,2.35,474
4008.208692,154540000,2360000,21.5,4.008208692,154.54,2.36,258
4009.817752,157120000,2370000,39.6666666666667,4.009817752,157.12,2.37,476
4033.897571,157550000,2380000,18.5,4.033897571,157.55,2.38,222
4018.510537,156200000,2370000,29.6666666666667,4.018510537,156.2,2.37,356
4003.340228,157540000,2360000,18.5,4.003340228,157.54,2.36,222
3995.970636,154790000,2360000,29.3333333333333,3.995970636,154.79,2.36,352
4027.331494,155800000,2380000,39.75,4.027331494,155.8,2.38,477
4013.051779,154460000,2370000,21.5,4.013051779,154.46,2.37,258
4049.895143,155750000,2390000,39.8333333333333,4.049895143,155.75,2.39,478
4007.258962,156200000,2360000,29.0833333333333,4.007258962,156.2,2.36,349
4003.132777,157350000,2360000,9.83333333333333,4.003132777,157.35,2.36,118
4017.01785,155670000,2370000,19.3333333333333,4.01701785,155.67,2.37,232
4013.572734,154430000,2370000,29.3333333333333,4.013572734,154.43,2.37,352
4023.622573,155160000,2370000,40.3333333333333,4.023622573,155.16,2.37,484
3993.365588,153910000,2350000,40.0833333333333,3.993365588,153.91,2.35,481
4002.427431,156900000,2360000,28.8333333333333,4.002427431,156.9,2.36,346
4012.073749,156190000,2360000,40,4.012073749,156.19,2.36,480
3999.728454,155100000,2360000,39.5,3.999728454,155.1,2.36,474
4008.3638,154090000,2360000,34.6666666666667,4.0083638,154.09,2.36,416
4032.33284,154610000,2380000,39.8333333333333,4.03233284,154.61,2.38,478
4004.774174,156290000,2370000,29.3333333333333,4.004774174,156.29,2.37,352
4000.315632,155020000,2360000,29.1666666666667,4.000315632,155.02,2.36,350
3982.602333,152750000,2350000,29.6666666666667,3.982602333,152.75,2.35,356
4010.941135,156450000,2360000,40,4.010941135,156.45,2.36,480
4017.993332,156980000,2380000,40.1666666666667,4.017993332,156.98,2.38,482
3981.615191,154390000,2340000,8.16666666666667,3.981615191,154.39,2.34,98
4032.00829,152860000,2370000,21.5,4.03200829,152.86,2.37,258
4004.249783,157310000,2360000,18.1666666666667,4.004249783,157.31,2.36,218
4002.848682,155240000,2360000,21.5833333333333,4.002848682,155.24,2.36,259
4007.49628,155540000,2360000,30.1666666666667,4.00749628,155.54,2.36,362
4030.723502,156890000,2370000,28.8333333333333,4.030723502,156.89,2.37,346
4029.87927,153440000,2370000,29.1666666666667,4.02987927,153.44,2.37,350
4029.486625,156270000,2390000,20.6666666666667,4.029486625,156.27,2.39,248
4004.125303,156150000,2370000,39.5,4.004125303,156.15,2.37,474
4008.975641,156010000,2360000,29.1666666666667,4.008975641,156.01,2.36,350
3990.825738,155780000,2350000,28.8333333333333,3.990825738,155.78,2.35,346
4000.753305,155910000,2350000,39.5,4.000753305,155.91,2.35,474
4003.31615,154170000,2360000,34.8333333333333,4.00331615,154.17,2.36,418
4053.935334,155670000,2400000,7.83333333333333,4.053935334,155.67,2.4,94
4027.831364,156360000,2370000,18.4166666666667,4.027831364,156.36,2.37,221
4026.665246,158080000,2370000,7.66666666666667,4.026665246,158.08,2.37,92
4000.952674,156530000,2360000,18.5,4.000952674,156.53,2.36,222
4012.982361,154720000,2380000,20.8333333333333,4.012982361,154.72,2.38,250
4018.068816,156830000,2370000,24.5,4.018068816,156.83,2.37,294
4007.094345,154250000,2360000,29.6666666666667,4.007094345,154.25,2.36,356
3982.290121,152390000,2340000,39.8333333333333,3.982290121,152.39,2.34,478
4005.191701,154480000,2360000,29.6666666666667,4.005191701,154.48,2.36,356
3994.152685,154900000,2360000,29.4166666666667,3.994152685,154.9,2.36,353
3985.66004,153230000,2350000,29.3333333333333,3.98566004,153.23,2.35,352
4003.977811,154440000,2350000,30,4.003977811,154.44,2.35,360
3992.685274,154800000,2350000,29.25,3.992685274,154.8,2.35,351
4043.037591,156650000,2400000,40,4.043037591,156.65,2.4,480
4033.430898,157440000,2390000,21.1666666666667,4.033430898,157.44,2.39,254
4014.319843,155930000,2360000,29.6666666666667,4.014319843,155.93,2.36,356
4019.072593,158060000,2370000,10.0833333333333,4.019072593,158.06,2.37,121
4013.255017,154520000,2390000,40,4.013255017,154.52,2.39,480
4021.428863,156240000,2380000,40,4.021428863,156.24,2.38,480
4009.716037,153540000,2360000,21,4.009716037,153.54,2.36,252
4015.998725,155370000,2370000,28.9166666666667,4.015998725,155.37,2.37,347
4013.831233,155490000,2380000,23.5833333333333,4.013831233,155.49,2.38,283
4019.04429,157350000,2370000,28.9166666666667,4.01904429,157.35,2.37,347
4005.832392,153500000,2360000,35.3333333333333,4.005832392,153.5,2.36,424
4019.602864,155100000,2370000,40.5,4.019602864,155.1,2.37,486
4004.612181,156550000,2360000,34.25,4.004612181,156.55,2.36,411
3999.837702,154200000,2360000,28.8333333333333,3.999837702,154.2,2.36,346
4060.673928,156800000,2400000,10.5,4.060673928,156.8,2.4,126
4051.768189,153880000,2390000,29.3333333333333,4.051768189,153.88,2.39,352
3993.363615,156110000,2350000,29.1666666666667,3.993363615,156.11,2.35,350
3998.56153,154450000,2360000,29.8333333333333,3.99856153,154.45,2.36,358
3999.427023,153270000,2350000,29.3333333333333,3.999427023,153.27,2.35,352
4013.467463,154370000,2380000,29.1666666666667,4.013467463,154.37,2.38,350
4017.018788,155230000,2380000,29.1666666666667,4.017018788,155.23,2.38,350
3993.314172,153800000,2360000,29.8333333333333,3.993314172,153.8,2.36,358
